theta,phi,m_x,m_y,m_z,alpha_1,alpha_2,alpha_1_sq_plus_alpha_2_sq
1.80765032735,1.15378910208,-0.381383292789,-0.112897733824,-0.91749707666,0.952938967039,0.303162209218,1
2.1973760172,-1.82235880514,0.211295582754,0.926793658326,0.31049588016,0.996388220414,0.0849147467775,1
2.16896140591,1.25282032739,-0.0472218214614,0.115741228729,0.992156271739,0.995723672578,0.0923816424873,1
1.62710292572,3.04080000546,0.08823746039,-0.832856772442,0.54640987105,0.547175005026,0.837018227923,1
2.2544016684,0.723436602891,0.557574143106,0.343259205132,-0.755833442653,0.847509013817,0.530781001449,1
0.758716242926,2.83502419477,-0.927447100451,-0.165510578999,0.33533285569,0.650360843134,0.759625416714,1
0.670275398358,1.65711914177,0.198779379412,-0.765999148224,0.611336293084,0.991249688112,0.13200021143,1
0.240308683149,-0.061572639523,-0.0979876065053,-0.823462389185,-0.558845347631,0.104778658841,0.994495566934,1
0.26286263617,2.47685779857,-0.507686296669,0.738281946151,-0.44406575207,0.961777820739,0.273831012733,1
1.15793750702,-1.20060326103,-0.184595098026,0.115411832822,-0.976014732793,0.987721774515,0.156223225386,1
2.71259270389,1.96995020834,0.249310884127,0.409655299925,0.877511605792,0.847181820394,0.531303080354,1
2.77855285716,2.89440906357,-0.798444430399,-0.36481703411,-0.4789520051,0.650426579021,0.759569131352,1
1.59459188718,0.654510327052,0.889701003617,-0.125971432301,0.438820376017,0.577360667572,0.816489228062,1
2.22094967047,3.07522947896,0.354883190414,-0.898005953618,-0.260083118307,0.464317613813,0.8856687606,1
2.90186993397,-1.86738407649,-0.587261420628,-0.389073966781,0.709750288634,0.841156817254,0.540791280243,1
2.84279119789,1.68732632783,0.771094152854,0.496836575229,0.398205003671,0.521309506172,0.853367680882,1
2.93090087176,2.17472244107,-0.608233635003,0.133141578999,-0.782512086292,0.551874927613,0.833926893842,1
1.4264431058,-2.00329197979,0.336907696322,-0.582363492247,0.739828336209,0.775882180357,0.630877834612,1
2.33531639398,-2.42586068047,0.285339913471,-0.286443347079,-0.914620873747,0.859739766545,0.510732350474,1
0.370945637864,0.523251459948,-0.0258527636543,-0.211855064256,-0.976959091447,0.80879492438,0.588090784061,1
0.475313219089,-2.35116728793,0.88150136784,-0.0974872577795,0.462008195886,0.710251046903,0.703948471391,1
0.298656437065,-1.71721181933,-0.332136991403,-0.355096445305,-0.873837246559,0.917658997689,0.39736880094,1
